,map_name,junction_id,num_actors,scenario_spec_id,rep_id,num_collisions,num_preventative_maneuvers,near_miss_occurance,num_frames,prevent_vis_tot_frames,prevent_vis_stretch_frames,prevent_vis_tail_frames,prevent_lid_tot_frames,prevent_lid_stretch_frames,prevent_lid_tail_frames,prevent_both_tot_frames,prevent_both_stretch_frames,prevent_both_tail_frames,ego,maneuver.id,maneuver.type,maneuver.start_lane_id,maneuver.end_lane_id
44,Town04,916,2,11,2,0,0,0,294,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
46,Town04,916,2,11,3,0,0,0,293,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
48,Town04,916,2,11,4,0,0,0,296,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
52,Town04,916,2,11,6,0,0,0,295,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
54,Town04,916,2,11,7,0,0,0,298,0,0,0,0,0,0,0,0,0,True,road981_lane0,left,road17_lane1,road52_lane0
122,Town04,916,2,15,1,0,0,0,281,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
136,Town04,916,2,15,8,0,0,0,280,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
180,Town04,916,2,18,0,0,0,0,279,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
182,Town04,916,2,18,1,0,0,0,271,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
184,Town04,916,2,18,2,0,0,0,281,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
188,Town04,916,2,18,4,0,0,0,270,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
190,Town04,916,2,18,5,0,0,0,272,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
192,Town04,916,2,18,6,0,0,0,272,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
196,Town04,916,2,18,8,0,0,0,272,0,0,0,0,0,0,0,0,0,True,road927_lane0,straight,road16_lane0,road17_lane0
220,Town04,916,2,1,0,0,0,0,259,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
222,Town04,916,2,1,1,0,0,0,259,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
224,Town04,916,2,1,2,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
226,Town04,916,2,1,3,0,0,0,259,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
228,Town04,916,2,1,4,0,0,0,259,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
230,Town04,916,2,1,5,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
232,Town04,916,2,1,6,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
234,Town04,916,2,1,7,0,0,0,259,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
236,Town04,916,2,1,8,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
238,Town04,916,2,1,9,0,0,0,259,0,0,0,0,0,0,0,0,0,True,road926_lane0,straight,road17_lane1,road16_lane1
268,Town04,916,2,21,4,0,0,0,287,0,0,0,0,0,0,0,0,0,True,road949_lane0,left,road16_lane0,road27_lane1
274,Town04,916,2,21,7,0,0,0,284,0,0,0,0,0,0,0,0,0,True,road949_lane0,left,road16_lane0,road27_lane1
278,Town04,916,2,21,9,0,0,0,286,0,0,0,0,0,0,0,0,0,True,road949_lane0,left,road16_lane0,road27_lane1
376,Town04,916,2,26,8,0,0,0,262,0,0,0,0,0,0,0,0,0,True,road955_lane0,right,road16_lane0,road52_lane0
404,Town04,916,2,28,2,0,0,0,259,0,0,0,0,0,0,0,0,0,True,road943_lane0,right,road27_lane0,road16_lane1
408,Town04,916,2,28,4,0,0,0,262,0,0,0,0,0,0,0,0,0,True,road943_lane0,right,road27_lane0,road16_lane1
502,Town04,916,2,32,1,0,0,0,297,0,0,0,0,0,0,0,0,0,True,road974_lane0,left,road27_lane0,road17_lane0
548,Town04,916,2,34,4,0,0,0,288,0,0,0,0,0,0,0,0,0,True,road974_lane0,left,road27_lane0,road17_lane0
608,Town04,916,2,37,4,0,0,0,273,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
612,Town04,916,2,37,6,0,0,0,274,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
614,Town04,916,2,37,7,0,0,0,274,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
680,Town04,916,2,40,0,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
682,Town04,916,2,40,1,0,0,0,256,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
684,Town04,916,2,40,2,0,0,0,253,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
686,Town04,916,2,40,3,0,0,0,254,0,0,0,0,0,0,0,0,0,True,road996_lane0,straight,road27_lane0,road52_lane0
